Country code,Country or area,Sort order,Major area,Code,Sort order,Region,Code,Sort order,Developed region,Least developed country,Sub-Saharan Africa,Small,Origin based on
566,Nigeria,66,Africa,903,7,Western Africa,914,53,No,No,Yes,No,E
570,Niue,260,Oceania,909,238,Polynesia,957,256,No,No,No,Yes,E
580,Northern Mariana Islands,254,Oceania,909,238,Micronesia,954,248,No,No,No,Yes,E
578,Norway,150,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
512,Oman,120,Asia,935,71,Western Asia,922,108,No,No,No,No,E
586,Pakistan,106,Asia,935,71,Southern Asia,5501,98,No,No,No,No,I
585,Palau,255,Oceania,909,238,Micronesia,954,248,No,No,No,Yes,E
591,Panama,216,Latin America and the Caribbean,904,180,Central America,916,208,No,No,No,No,E
598,Papua New Guinea,245,Oceania,909,238,Melanesia,928,242,No,No,No,No,E
600,Paraguay,227,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,No,E
604,Peru,228,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,No,E
608,Philippines,93,Asia,935,71,South-Eastern Asia,920,86,No,No,No,No,E
616,Poland,133,Europe,908,127,Eastern Europe,923,128,Yes,No,No,No,E
620,Portugal,164,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
630,Puerto Rico,200,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
634,Qatar,121,Asia,935,71,Western Asia,922,108,No,No,No,No,I
410,Republic of Korea,85,Asia,935,71,Eastern Asia,906,78,No,No,No,No,E
498,Republic of Moldova,134,Europe,908,127,Eastern Europe,923,128,Yes,No,No,No,E
638,Réunion,20,Africa,903,7,Eastern Africa,910,8,No,No,Yes,No,E
642,Romania,135,Europe,908,127,Eastern Europe,923,128,Yes,No,No,No,E
643,Russian Federation,136,Europe,908,127,Eastern Europe,923,128,Yes,No,No,No,E
646,Rwanda,21,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,E
654,Saint Helena,67,Africa,903,7,Western Africa,914,53,No,No,Yes,Yes,E
659,Saint Kitts and Nevis,201,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,Yes,E
662,Saint Lucia,202,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
666,Saint Pierre and Miquelon,236,Northern America,905,232,Northern America,905,232,Yes,No,No,Yes,E
670,Saint Vincent and the Grenadines,203,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
882,Samoa,261,Oceania,909,238,Polynesia,957,256,No,Yes,No,No,E
674,San Marino,165,Europe,908,127,Southern Europe,925,153,Yes,No,No,Yes,I
678,Sao Tome and Principe,38,Africa,903,7,Middle Africa,911,29,No,Yes,Yes,No,E
682,Saudi Arabia,122,Asia,935,71,Western Asia,922,108,No,No,No,No,E
686,Senegal,68,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,I
688,Serbia,166,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
690,Seychelles,22,Africa,903,7,Eastern Africa,910,8,No,No,Yes,No,E
694,Sierra Leone,69,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,E
702,Singapore,94,Asia,935,71,South-Eastern Asia,920,86,No,No,No,No,E
534,Sint Maarten (Dutch part),204,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,Yes,I
703,Slovakia,137,Europe,908,127,Eastern Europe,923,128,Yes,No,No,No,E
705,Slovenia,167,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
90,Solomon Islands,246,Oceania,909,238,Melanesia,928,242,No,Yes,No,No,E
706,Somalia,23,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,I
710,South Africa,51,Africa,903,7,Southern Africa,913,47,No,No,Yes,No,E
728,South Sudan,24,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,I
724,Spain,168,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
144,Sri Lanka,107,Asia,935,71,Southern Asia,5501,98,No,No,No,No,I
275,State of Palestine,119,Asia,935,71,Western Asia,922,108,No,No,No,No,E
729,Sudan,44,Africa,903,7,Northern Africa,912,39,No,Yes,Yes,No,E
740,Suriname,229,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,No,E
748,Swaziland,52,Africa,903,7,Southern Africa,913,47,No,No,Yes,No,E
752,Sweden,151,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
756,Switzerland,179,Europe,908,127,Western Europe,926,170,Yes,No,No,No,E
760,Syrian Arab Republic,123,Asia,935,71,Western Asia,922,108,No,No,No,No,I
762,Tajikistan,75,Asia,935,71,Central Asia,5500,72,No,No,No,No,E
764,Thailand,95,Asia,935,71,South-Eastern Asia,920,86,No,No,No,No,E
807,The former Yugoslav Republic of Macedonia,169,Europe,908,127,Southern Europe,925,153,Yes,No,No,No,E
626,Timor-Leste,96,Asia,935,71,South-Eastern Asia,920,86,No,Yes,No,No,E
768,Togo,70,Africa,903,7,Western Africa,914,53,No,Yes,Yes,No,I
772,Tokelau,262,Oceania,909,238,Polynesia,957,256,No,No,No,Yes,E
776,Tonga,263,Oceania,909,238,Polynesia,957,256,No,No,No,No,E
780,Trinidad and Tobago,205,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
788,Tunisia,45,Africa,903,7,Northern Africa,912,39,No,No,No,No,E
792,Turkey,124,Asia,935,71,Western Asia,922,108,No,No,No,No,E
795,Turkmenistan,76,Asia,935,71,Central Asia,5500,72,No,No,No,No,E
796,Turks and Caicos Islands,206,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,Yes,E
798,Tuvalu,264,Oceania,909,238,Polynesia,957,256,No,Yes,No,Yes,E
800,Uganda,25,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,E
804,Ukraine,138,Europe,908,127,Eastern Europe,923,128,Yes,No,No,No,E
784,United Arab Emirates,125,Asia,935,71,Western Asia,922,108,No,No,No,No,I
826,United Kingdom of Great Britain and Northern Ireland,152,Europe,908,127,Northern Europe,924,139,Yes,No,No,No,E
834,United Republic of Tanzania,26,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,E
840,United States of America,237,Northern America,905,232,Northern America,905,232,Yes,No,No,No,E
850,United States Virgin Islands,207,Latin America and the Caribbean,904,180,Caribbean,915,181,No,No,No,No,E
858,Uruguay,230,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,No,E
860,Uzbekistan,77,Asia,935,71,Central Asia,5500,72,No,No,No,No,E
548,Vanuatu,247,Oceania,909,238,Melanesia,928,242,No,Yes,No,No,E
862,Venezuela (Bolivarian Republic of),231,Latin America and the Caribbean,904,180,South America,931,217,No,No,No,No,E
704,Viet Nam,97,Asia,935,71,South-Eastern Asia,920,86,No,No,No,No,I
876,Wallis and Futuna Islands,265,Oceania,909,238,Polynesia,957,256,No,No,No,Yes,E
732,Western Sahara,46,Africa,903,7,Northern Africa,912,39,No,No,No,No,I
887,Yemen,126,Asia,935,71,Western Asia,922,108,No,Yes,No,No,E
894,Zambia,27,Africa,903,7,Eastern Africa,910,8,No,Yes,Yes,No,E
716,Zimbabwe,28,Africa,903,7,Eastern Africa,910,8,No,No,Yes,No,E
